Indicators,2016-07-01,2016-06-01,2016-05-01,2016-04-01,2016-03-01,2016-02-01,2016-01-01,2015-12-01,2015-11-01,2015-10-01,2015-09-01,2015-08-01,2015-07-01,2015-06-01,2015-05-01,2015-04-01,2015-03-01,2015-02-01,2015-01-01,2014-12-01,2014-11-01,2014-10-01,2014-09-01,2014-08-01,2014-07-01,2014-06-01,2014-05-01,2014-04-01,2014-03-01,2014-02-01,2014-01-01,2013-12-01,2013-11-01,2013-10-01,2013-09-01,2013-08-01,2013-07-01,2013-06-01,2013-05-01,2013-04-01,2013-03-01,2013-02-01,2013-01-01,2012-12-01,2012-11-01,2012-10-01,2012-09-01,2012-08-01,2012-07-01,2012-06-01,2012-05-01,2012-04-01,2012-03-01,2012-02-01,2012-01-01,2011-12-01,2011-11-01,2011-10-01,2011-09-01,2011-08-01,2011-07-01,2011-06-01,2011-05-01,2011-04-01,2011-03-01,2011-02-01,2011-01-01,2010-12-01,2010-11-01,2010-10-01,2010-09-01,2010-08-01,2010-07-01,2010-06-01,2010-05-01,2010-04-01,2010-03-01,2010-02-01,2010-01-01,2009-12-01,2009-11-01,2009-10-01,2009-09-01,2009-08-01,2009-07-01,2009-06-01,2009-05-01,2009-04-01,2009-03-01,2009-02-01,2009-01-01,2008-12-01,2008-11-01,2008-10-01,2008-09-01,2008-08-01,2008-07-01,2008-06-01,2008-05-01,2008-04-01,2008-03-01,2008-02-01,2008-01-01,2007-12-01,2007-11-01,2007-10-01,2007-09-01,2007-08-01,2007-07-01,2007-06-01,2007-05-01,2007-04-01,2007-03-01,2007-02-01,2007-01-01,2006-12-01,2006-11-01,2006-10-01,2006-09-01,2006-08-01,2006-07-01,2006-06-01,2006-05-01,2006-04-01,2006-03-01,2006-02-01,2006-01-01
Government Expenditure  Current Period(100 million yuan),12768,22636.9,15460.5,13109.3,16788,11036.2,10134.1,,16069.4,13491.4,17798.7,12843.5,12732.4,18814,13124.2,12534.5,13950.1,10728.4,8136.8,,12758.6,9909.8,14025.5,10203.7,10256.2,16522,12789.8,9409.8,13365.8,6913.4,10153.3,,12657.5,10507.4,12586.2,9607.6,9354.5,13103.7,10265.6,9308,10931.9,7737.6,8367.3,,12159.7,8616.6,11679,9019.6,9527.7,12724.2,9165,7885.8,10193.9,6897.3,7026.8,19974.2,11396.2,8079,10018.6,8077,6949.9,10809.1,8268,7304.5,7570,4074.8,6408.8,17982,10599.6,6488.3,8469,6413.7,5810.9,8119.2,5786.7,5575.6,5924,4940.2,3465.8,,6349.9,4683.3,6577.4,4737.1,4985.7,6405.6,4608,5078.1,5007.4,3810.1,3993.5,,5254,4143.2,4948.9,4035.7,4561.4,5272.2,4024.6,4078.4,3809.8,2682.9,3014.1,,4508.2,3560.3,4433.1,3426.7,3236.6,4488.6,2922.2,3220.5,2874.2,2543.7,1870.9,,3783.7,2670.6,3426.2,2604.9,2524.8,3414.6,2166.3,2728.5,2504.1,1559.7,2227.9
Government Revenue Current Period(100 million yuan),14770,15634.1,15460.8,15522.9,11511.2,10218.5,17166.3,,11087.4,14435.1,10891.9,9671.3,14249.4,15335.2,14355.5,13502.1,10690.6,9513.1,16203.4,,9952.9,13280.2,9953,9109.2,12661.6,13461.1,13670,12481.3,10103.2,9488,15434.5,,9125,12136.4,9361.7,8588.2,11848.6,12377,12748.9,11430.8,9607.8,8770.3,13655.9,,7871.3,10443.6,8258.4,7863,10671.7,11040.3,12004.8,10774,9058,8005.7,12912.6,6431,6457.3,9188.3,7377.1,7546.4,9864.1,10055.8,10612.3,10082.1,7631.4,6997,11497.4,6340,5840.7,7860.3,6287.2,5619.4,7783.2,7879.4,7917.7,7925.7,6023.4,4945,8658.7,,5029.3,6844.9,5609.4,5237.5,6695.9,6867.5,6569.5,5897.2,4402.2,4108.2,6131.6,,3792.4,5329,4217.2,3847.9,6073.5,5743.8,6268.2,6824.9,4416,4158.8,7396.6,,3913.1,5347.1,4091.3,3495.4,5212.3,4394.3,4107.5,5832.4,3542.1,3045.5,5196,,2660.7,3800.6,2876.8,2695.9,4043.8,3374.9,3060.5,4270.5,2894.4,2534.6,3871
